Frequency,Expression,Reading,Meaning,MeaningCount,Exclude1,Exclude2,GenerateKR2JP,GenerateJP2KR,Image,IMM_Sentence,IMM_Image,IMM_Audio,IMM_SourceMedia
17801,第九,,,,,,,,,,,,
17873,現,,,,,,,,,,,,
17933,おなじみ,,,,,,,,,,,,
17969,おだてる,,,,,,,,,,,,
17989,お代,,,,,,,,,,,,
17990,無感情,,,,,,,,,,,,
18264,お茶する,,,,,,,,,,,,
18289,お付き,,,,,,,,,,,,
18306,お目覚,,,,,,,,,,,,
18414,お手柔らかに,,,,,,,,,,,,
18564,お見知りおき,,,,,,,,,,,,
18572,無礼者,,,,,,,,,,,,
18658,お馴染み,,,,,,,,,,,,
18836,大貴族,,,,,,,,,,,,
18936,大失敗,,,,,,,,,,,,
18943,七百,,,,,,,,,,,,
18956,全財産,,,,,,,,,,,,
18960,お喜び,,,,,,,,,,,,
18987,お側,,,,,,,,,,,,
19075,お叱り,,,,,,,,,,,,
19160,お先,,,,,,,,,,,,
19218,お姫様抱っこ,,,,,,,,,,,,
19335,おかゆ,,,,,,,,,,,,
19481,お隣さん,,,,,,,,,,,,
19557,お孫さん,,,,,,,,,,,,
19631,お次,,,,,,,,,,,,
19681,御心,,,,,,,,,,,,
19811,おあいこ,,,,,,,,,,,,
19911,第一章,,,,,,,,,,,,
19927,超高速,,,,,,,,,,,,
19981,相容れない,,,,,,,,,,,,
20027,お花畑,,,,,,,,,,,,
20136,抗,,,,,,,,,,,,
20147,お近づきになる,,,,,,,,,,,,
20187,翌,,,,,,,,,,,,
20211,大満足,,,,,,,,,,,,
20330,お抱え,,,,,,,,,,,,
20540,お持ち帰り,,,,,,,,,,,,
20619,お告げ,,,,,,,,,,,,
20705,ご縁,,,,,,,,,,,,
20721,相変らず,,,,,,,,,,,,
20742,お通し,,,,,,,,,,,,
20844,お飾り,,,,,,,,,,,,
20938,お手数,,,,,,,,,,,,
20947,お高い,,,,,,,,,,,,
20972,大ファン,,,,,,,,,,,,
21033,お鍋,,,,,,,,,,,,
21051,異空間,,,,,,,,,,,,
21139,お休みなさい,,,,,,,,,,,,
21161,大歓声,,,,,,,,,,,,
21173,ご恩,,,,,,,,,,,,
21237,お堅い,,,,,,,,,,,,
21248,現段階,,,,,,,,,,,,
21453,お母,,,,,,,,,,,,
21550,おなり,,,,,,,,,,,,
21658,真っ暗闇,,,,,,,,,,,,
21801,お国,,,,,,,,,,,,
22047,お安い御用,,,,,,,,,,,,
22121,お婆ちゃん,,,,,,,,,,,,
22184,おまんこ,,,,,,,,,,,,
22209,お先に失礼します,,,,,,,,,,,,
22373,お召し,,,,,,,,,,,,
22422,おへそ,,,,,,,,,,,,
22524,相成る,,,,,,,,,,,,
22561,無感動,,,,,,,,,,,,
22563,最新鋭,,,,,,,,,,,,
22567,大馬鹿,,,,,,,,,,,,
22568,お達し,,,,,,,,,,,,
22625,不確定,,,,,,,,,,,,
22724,お会計,,,,,,,,,,,,
22731,お作り,,,,,,,,,,,,
23258,ござんす,,,,,,,,,,,,
23409,耐,,,,,,,,,,,,
23444,ふぎ,,,,,,,,,,,,
23471,逸,,,,,,,,,,,,
23487,お母ちゃん,,,,,,,,,,,,
23498,お茶目,,,,,,,,,,,,
23653,除,,,,,,,,,,,,
23691,お手並み拝見,,,,,,,,,,,,
23704,ほの,,,,,,,,,,,,
24028,ご了承,,,,,,,,,,,,
24057,誤,,,,,,,,,,,,
24112,不得手,,,,,,,,,,,,
24134,お子,,,,,,,,,,,,
24170,大作戦,,,,,,,,,,,,
24258,お裾分け,,,,,,,,,,,,
24320,おしとやか,,,,,,,,,,,,
24365,真っ正面,,,,,,,,,,,,
24427,お目通り,,,,,,,,,,,,
24474,お茶を入れる,,,,,,,,,,,,
24489,毎,,,,,,,,,,,,
24516,不確定要素,,,,,,,,,,,,
24635,第一位,,,,,,,,,,,,
24668,大ピンチ,,,,,,,,,,,,
24749,お坊ちゃん,,,,,,,,,,,,
24926,不似合い,,,,,,,,,,,,
25151,ご愁傷様,,,,,,,,,,,,
25184,以てする,,,,,,,,,,,,
25256,大音声,,,,,,,,,,,,
25356,おめかし,,,,,,,,,,,,
25375,大盛況,,,,,,,,,,,,
25436,疑,,,,,,,,,,,,
25478,いけ好かない,,,,,,,,,,,,
25709,お経,,,,,,,,,,,,
25716,お父ちゃん,,,,,,,,,,,,
25895,大打撃,,,,,,,,,,,,
25964,お粥,,,,,,,,,,,,
26056,お門違い,,,,,,,,,,,,
26192,仄暗い,,,,,,,,,,,,
